,pitchid,pitcherid,yearid,throws,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate,type
3053,7696,231932,2016,R,72,76.10102488,2.020100735,-3.1844975860000004,-1.7987727040000001,5.239335911,6.1046011,2228.664918,SL
3054,15785,231932,2015,R,72,84.57879533,-11.65699448,0.573760335,-1.6531782,5.395451588999999,5.8337854160000004,1697.832419,SI
3055,12109,221958,2017,L,73,88.39184502,5.659467058,7.173377531,2.591237224,6.019750385,6.226764107999999,1987.3180320000001,FB
3056,13564,359178,2015,R,76,97.22125815,-2.907637583,11.39422307,-0.917413292,6.415690871,6.235950637,2277.155054,FB
3057,8962,221958,2016,L,73,87.24134044,6.632011846,10.01035372,2.406264459,6.178189493,6.478278838,2177.090557,FB
3058,6636,465838,2016,L,74,80.91757984,-0.8314610370000001,-1.154917622,1.892002964,5.898510833,5.934747574,2359.091622,SL
3059,8242,771155,2017,R,75,74.36754378,9.592162111,-4.081570092,-1.21441523,6.155619024,6.05235059,2611.552127,CB
3060,615,221958,2016,L,73,85.53398918,8.285569758,10.29398875,2.642176364,6.252605493,6.547027797999999,2014.4355309999999,CU
3061,11819,771155,2017,R,75,83.78414592,0.039095849,6.332818265,-1.333484905,5.9313357579999995,6.069115561,2360.0605969999997,CH
3062,3238,221958,2017,L,73,87.07833925,11.08473862,7.8422420420000005,2.69573304,6.169940787000001,6.37127001,1837.4427670000002,CU
3063,12746,221958,2016,L,73,86.79382443,3.774582842,7.195280853,2.610055215,5.976744136000001,5.932464842999999,2065.626699,FB
3064,13142,221958,2016,L,73,85.60518226,9.108413172,8.055107899,2.670173202,6.054394276,6.236187382000001,2082.771111,CU
3065,13005,221958,2016,L,73,76.70851376,2.1446906340000003,2.7848730560000003,2.663173821,6.181397348,6.219058114,2241.258743,SL
3066,13685,221958,2016,L,73,87.54735754,6.451943704,10.02015035,2.9053625530000002,6.165863827000001,6.329376438,2014.094677,FB
3067,1035,231932,2015,R,72,89.71062604,-8.240253442,2.589002436,-1.693345114,5.42489474,6.14455978,1814.6202010000002,CU
3068,8358,221958,2017,L,73,89.12004182,8.840205993,7.845814233,2.578468687,5.960511454,6.08368746,2087.3688829999996,CU
3069,13769,231932,2015,R,72,83.60827718,-7.677782012000001,0.44259769200000004,-1.4881387959999999,5.371111252,6.606638447000001,1521.558471,SI
3070,602,359178,2015,R,76,89.09671622,-7.7146924,6.034937794,-1.55814234,6.41739992,6.166021289,2040.7779239999998,SI
3071,9082,359178,2015,R,76,95.9893671,-5.174576806,9.96608752,-1.709781035,6.333077666,6.2217637,2343.557195,FB
3072,14301,359178,2015,R,76,96.80249038,-3.059208993,11.95808417,-1.323220184,6.272869667999999,6.255159976,2577.620596,FB
3073,16454,231932,2015,R,72,90.27121274,-6.577676147000001,6.208926829,-1.7393874759999999,5.573498487,6.275656641,1848.733561,FB
3074,8213,359178,2015,R,76,94.76840967,-7.071316599999999,9.458723938,-1.881285572,6.248256222,6.111188086,2316.557182,CU
3075,10594,359178,2015,R,76,84.33079032,1.8650858680000002,2.024191575,-1.357966081,6.427813789,6.482009615,2172.545193,SL
3076,4154,771155,2017,R,75,88.69675888,-6.661795712000001,9.468164708,-0.8693854059999999,6.175979845,6.117630372000001,2232.4068780000002,FB
3077,19107,771155,2017,R,75,85.69642915,-6.942071902,2.113377143,-1.122067144,5.815125899,5.979978535,1915.872073,CU
3078,18864,465838,2016,L,74,76.62181397,0.465749533,-4.002615508,2.208562916,5.687445029,6.399760528,2131.579559,SL
3079,13258,465838,2016,L,74,80.88726915,-2.1505700709999997,-1.31277687,1.6200731609999999,6.145104856000001,6.089404667999999,2184.3254039999997,SL
3080,7734,359178,2015,R,76,96.28687469,-2.187110787,9.40646866,-1.2242987779999999,6.396009696,5.977082055,2275.454746,FB
3081,4757,221958,2016,L,73,86.69532059,7.9382473739999995,8.172026234,2.403798028,6.216656883,6.121683547999999,1916.747327,FB
3082,4425,231932,2015,R,72,90.98802715,-7.050017539,2.579612938,-1.73305614,5.384550906,6.098745002,1794.482127,CU
3083,17608,771155,2017,R,75,83.73015600000001,0.7555265990000001,5.366889919,-1.506223191,5.964399664,6.202877291,2316.630419,CH
3084,10700,231932,2015,R,72,84.4450653,-8.675949023,-0.756160717,-1.696920719,5.278614293,6.074599608,1445.974857,SI
3085,6192,771155,2016,R,75,75.18590476,5.054006716,-5.808822987999999,-1.141162077,6.072767399,6.093608652,2623.422747,CB
